type,average_rank,amount
Wargame,7561.0,2617
Puzzle,7262.0,343
Prehistoric,7523.0,113
Humor,9553.0,841
Zombies,7806.0,166
Industry,5222.0,211
Travel,7853.0,143
Electronic,10951.0,123
Game System,6979.0,15
Modern Warfare,7607.0,221
Fantasy,6971.0,1868
Renaissance,5009.0,201
Mythology,6539.0,251
City Building,4738.0,399
Educational,9772.0,294
Civilization,4598.0,268
Abstract Strategy,8506.0,911
Negotiation,8766.0,502
Pike and Shot,7064.0,35
Comic Book,8407.0,221
Trivia,12779.0,313
Napoleonic,7448.0,284
Murder,7997.0,204
Space Exploration,5999.0,191
Transportation,5737.0,282
Economic,6626.0,1097
Political,6606.0,349
Religious,7064.0,83
Card Game,8286.0,4270
Mafia,7827.0,103
Vietnam War,7542.0,40
Novel-based,8308.0,352
Children's Game,11328.0,985
Post-Napoleonic,6728.0,69
Medical,7456.0,59
Party Game,9844.0,1181
Nautical,6784.0,426
Territory Building,5384.0,373
Arabian,8403.0,71
Print & Play,8247.0,387
Medieval,6445.0,743
Environmental,6796.0,124
Exploration,6509.0,796
Age of Reason,6049.0,120
Expansion for Base-game,7104.0,17
Memory,10921.0,375
Bluffing,7639.0,882
Sports,8321.0,289
Miniatures,5947.0,750
Music,10649.0,54
Math,10652.0,84
Collectible Components,8224.0,259
Pirates,8746.0,258
Adventure,7412.0,796
Video Game Theme,8103.0,227
Farming,5850.0,169
Dice,8697.0,1314
Aviation,6457.0,185
World War II,7411.0,877
Mature,10676.0,100
Word Game,9888.0,237
Fighting,6812.0,1223
American Civil War,7489.0,162
American Indian Wars,6888.0,22
Number,9231.0,118
Ancient,6317.0,544
Horror,7714.0,493
Racing,8957.0,473
Korean War,7403.0,14
Movies,10756.0,677
Trains,5619.0,266
Animals,8597.0,841
Spies,6401.0,139
Deduction,7503.0,724
World War I,7386.0,1032
Action,9592.0,538
Maze,8903.0,128
American Revolutionary War,6702.0,57
Real-time,7847.0,472
Book,7888.0,290
Science Fiction,7152.0,1175
Civil War,7393.0,219
American West,6927.0,162
